blue_ban_1,blue_ban_2,blue_ban_3,blue_ban_4,blue_ban_5,blue_pick_1,blue_pick_2,blue_pick_3,blue_pick_4,blue_pick_5,red_ban_1,red_ban_2,red_ban_3,red_ban_4,red_ban_5,red_pick_1,red_pick_2,red_pick_3,red_pick_4,red_pick_5,win
897,39,96,104,54,83,200,69,67,12,421,10,895,221,141,150,11,13,360,111,1
888,427,120,902,54,897,107,69,15,16,121,157,420,350,902,122,104,61,145,12,1
427,53,518,122,103,10,24,115,15,101,120,350,25,420,201,897,104,69,110,12,1
888,54,25,897,120,555,92,69,360,20,54,141,59,412,103,420,30,31,202,101,1
526,122,119,30,136,420,107,90,51,412,120,35,104,96,518,64,39,103,29,117,0
89,235,19,902,238,164,421,4,67,117,77,54,96,200,86,78,56,103,523,497,0
120,122,96,40,54,875,60,103,145,53,120,39,28,902,121,110,427,81,51,142,0
902,28,29,68,120,48,163,518,21,99,888,54,96,200,120,36,104,127,18,526,0
91,412,136,121,56,86,111,245,498,43,54,96,81,897,120,69,203,875,523,902,1
432,96,54,888,38,36,141,84,429,412,105,75,221,902,203,19,59,238,498,122,0
35,157,350,80,136,238,32,122,67,555,888,104,96,895,25,75,876,7,145,412,0
96,136,104,221,39,36,62,112,222,201,1,96,24,35,53,14,80,34,22,40,0
96,-1,114,104,888,266,200,4,498,555,51,154,122,136,902,777,30,54,221,412,1
157,888,902,96,11,54,154,51,429,555,2,16,517,103,136,34,113,39,67,12,1
517,154,350,54,238,10,64,99,360,44,77,55,82,96,104,98,121,245,429,412,0
897,120,96,104,36,80,498,127,9,12,54,35,24,50,157,31,14,8,202,99,0
201,121,107,134,26,126,120,142,81,40,96,104,888,55,82,432,200,112,221,6,0
80,96,902,91,888,887,51,163,104,526,53,7,136,96,75,84,122,897,222,16,0
888,55,29,120,897,164,35,42,429,412,887,53,121,114,136,36,77,101,236,555,0
16,96,120,29,39,7,203,164,51,111,82,350,136,35,360,54,104,245,110,412,1
96,7,120,24,427,114,222,45,107,432,53,36,78,112,887,133,254,29,104,267,1
7,80,96,897,120,4,145,164,200,555,902,122,105,120,166,78,876,10,18,53,1
12,53,32,112,19,126,57,99,222,902,96,897,7,120,234,516,60,45,498,201,1
7,39,120,897,888,36,203,69,18,267,236,11,122,-1,96,5,98,29,134,902,0
238,82,9,96,80,39,11,117,523,99,96,120,53,7,40,89,69,76,498,58,1
91,34,555,121,29,134,200,24,221,40,96,3,121,897,235,79,120,7,110,143,0
902,96,203,517,121,114,64,897,67,117,96,120,119,7,29,266,20,69,145,12,1
120,96,34,-1,887,92,222,69,141,902,136,114,111,518,33,24,28,91,360,89,1
120,888,154,-1,55,122,25,39,895,76,203,235,121,35,90,57,62,112,498,37,1
120,104,25,96,36,122,200,3,498,53,107,350,157,238,117,14,64,7,360,37,0
200,96,90,53,120,80,79,518,235,222,200,105,360,412,420,31,104,103,202,111,1
266,96,222,350,120,53,360,68,238,58,24,120,55,57,25,432,164,895,245,62,1
7,24,53,120,902,157,164,110,28,412,111,350,266,222,33,81,555,121,50,114,0
53,84,2,45,35,19,154,50,523,117,96,897,902,120,15,202,235,142,164,141,1
31,350,121,120,55,126,30,115,895,32,200,89,53,203,54,39,64,145,81,29,1
222,77,39,78,166,92,154,13,21,1,55,-1,24,96,120,875,895,711,59,555,1
360,412,238,11,10,31,59,55,119,201,266,105,120,221,25,79,254,103,29,53,1
412,121,38,25,54,24,120,245,21,99,498,89,136,28,9,86,56,13,360,32,1
54,56,412,518,53,164,31,517,21,99,222,55,121,888,38,80,69,67,245,711,1
90,902,111,64,420,266,234,517,145,412,897,902,120,119,136,887,200,103,523,497,0
136,84,105,497,238,24,32,80,81,111,120,902,28,897,136,240,7,518,53,895,1
3,120,350,22,89,62,11,84,202,43,59,136,53,45,114,54,64,1,18,555,1
99,-1,-1,-1,103,9,266,777,221,117,41,350,45,120,24,121,54,268,523,429,1
111,777,51,9,517,82,141,238,221,99,164,120,350,498,34,114,60,246,119,555,1
24,350,888,120,104,164,64,42,67,16,1,25,39,360,350,83,72,103,222,12,0
89,120,350,9,145,136,114,203,110,32,25,1,10,887,119,420,48,134,29,201,0
59,555,136,23,17,122,498,112,74,11,36,24,350,221,104,164,121,51,711,412,1
64,114,99,143,238,82,517,136,44,895,35,221,897,57,350,31,78,163,18,147,1
888,350,57,78,1,427,51,112,92,99,897,157,38,48,429,122,19,517,81,63,0
1,25,200,350,57,875,104,245,14,498,238,83,64,50,221,84,234,164,145,497,1
888,36,777,203,221,126,64,4,523,412,117,-1,84,9,122,897,131,517,111,34,1
63,36,-1,25,86,24,11,157,110,57,235,221,888,77,38,164,72,711,67,12,1
221,120,77,55,36,164,121,777,51,53,238,111,266,32,517,4,81,234,31,26,0
221,104,888,120,25,150,121,238,8,147,420,51,90,-1,77,23,517,64,80,74,1
33,897,221,25,104,119,203,84,75,99,17,157,777,266,25,41,245,517,222,53,0
36,29,350,105,267,134,200,84,51,117,888,221,-1,25,38,887,245,39,119,53,1
104,888,77,221,39,266,51,245,163,99,203,238,-1,122,517,19,412,202,3,234,1
33,555,157,36,221,154,64,3,236,267,221,360,888,120,38,164,30,84,145,117,1
203,517,266,82,36,57,114,31,81,37,120,164,38,221,77,122,104,112,145,412,0
350,164,53,266,77,75,64,38,202,267,235,221,20,120,888,114,110,112,517,111,0
90,33,18,23,25,54,28,267,236,157,888,221,90,120,36,887,517,518,498,497,0
555,84,266,114,82,39,20,517,15,267,103,221,36,90,888,126,350,38,81,245,1
711,28,895,267,114,31,113,777,236,235,77,92,888,164,221,20,897,112,110,412,0
14,29,266,24,99,62,60,6,119,43,202,888,350,897,8,164,517,41,145,16,1
238,104,36,25,888,266,20,38,119,555,120,122,114,75,238,82,57,517,96,59,1
897,104,25,350,36,150,9,157,412,18,120,74,119,350,25,777,60,84,51,33,0
39,77,268,54,-1,86,82,4,157,79,38,51,221,147,888,83,64,711,15,26,1
888,221,8,59,120,887,154,157,523,201,51,74,122,238,90,36,35,80,119,147,0
350,134,77,114,40,27,517,238,110,526,897,120,888,55,221,75,64,99,523,16,0
39,119,35,888,50,89,11,8,523,164,235,77,82,38,897,154,234,136,360,111,0
888,120,25,897,117,777,15,84,79,12,11,555,35,114,120,67,517,8,51,54,1
90,36,350,119,266,126,234,112,236,412,888,77,119,8,897,240,131,238,523,117,1
25,888,238,221,77,266,254,14,21,711,157,24,16,45,897,114,33,103,235,15,1
36,517,114,-1,104,48,35,90,145,12,350,77,268,38,75,412,20,142,110,41,0
200,221,350,80,888,75,77,142,110,555,103,122,350,53,234,14,113,50,81,101,1
141,31,235,102,200,79,254,45,119,267,25,888,164,350,777,15,10,42,11,432,0
62,147,555,895,888,246,131,221,83,32,429,238,15,164,25,82,141,157,202,99,0
350,777,141,39,157,133,11,517,15,888,895,62,25,268,131,266,221,42,33,412,0
350,268,84,111,11,58,20,42,110,40,15,268,163,24,711,68,104,41,895,267,0
16,131,119,62,28,92,245,238,236,7,350,157,107,141,102,84,421,74,895,99,0
429,154,11,238,420,41,107,38,235,147,25,895,131,234,90,8,245,114,67,111,0
122,114,90,147,141,36,30,238,157,235,555,-1,777,360,86,420,154,517,81,888,0
-1,131,15,555,63,516,203,90,110,43,12,112,6,122,350,84,78,86,202,711,1
235,895,39,112,360,119,58,127,888,104,131,157,111,-1,777,122,245,147,81,350,1
360,234,38,25,-1,98,141,245,202,53,62,114,711,895,11,777,131,157,147,22,1
122,53,895,90,26,223,64,8,145,111,39,350,29,11,200,126,102,42,21,235,1
145,90,122,166,117,24,131,518,29,350,38,53,888,39,11,92,9,517,895,235,0
53,39,38,11,15,14,35,245,360,412,39,84,895,268,223,54,112,32,96,117,0
875,103,111,15,10,14,102,245,81,350,53,11,39,23,38,79,131,84,895,235,1
25,147,24,236,200,887,102,134,145,111,221,154,18,114,246,17,876,238,157,555,0
221,246,235,114,154,54,30,777,157,555,127,105,119,350,887,875,517,131,81,32,1
106,360,62,777,147,83,76,50,202,99,360,266,103,44,104,10,107,55,21,432,0
777,518,147,62,360,82,203,50,110,111,45,876,888,22,266,7,141,122,145,117,0
203,86,777,53,360,92,141,55,221,37,53,62,111,84,777,23,245,112,29,40,1
86,122,360,221,92,44,245,45,555,51,200,67,141,122,81,102,131,157,498,82,1
141,200,106,53,111,92,104,55,81,43,90,98,234,25,221,36,429,127,5,555,0
38,133,234,25,64,78,11,112,45,115,238,200,235,117,111,266,79,268,236,99,1
518,119,30,7,53,29,78,142,67,412,28,40,68,518,7,133,203,4,145,111,0
555,350,221,53,166,875,427,12,145,43,-1,107,203,7,902,897,421,103,523,526,1
29,134,7,119,518,85,76,6,429,200,119,421,29,526,203,897,121,112,22,78,0
-1,29,-1,895,85,2,421,268,145,497,9,203,7,902,427,897,68,84,67,517,0
350,421,7,895,360,64,80,84,145,111,85,203,7,119,427,98,234,518,81,267,1
421,24,104,350,-1,157,35,432,29,497,28,107,518,142,7,85,64,134,145,555,1
107,238,427,121,-1,14,21,13,200,147,7,53,17,203,902,887,421,84,119,526,1
203,427,-1,78,107,54,518,18,110,526,79,119,7,238,203,17,64,55,523,111,1
203,7,23,119,523,58,64,8,81,43,238,203,54,350,119,85,427,55,145,37,1
-1,7,203,53,268,8,113,157,523,117,63,203,-1,427,7,84,254,103,119,412,0
518,236,107,203,-1,126,421,268,497,22,7,203,145,107,427,516,64,103,523,902,1
518,23,203,30,-1,897,427,145,523,412,555,203,518,107,7,85,234,84,222,53,0
7,518,107,203,236,68,91,157,268,235,16,203,7,35,518,78,64,103,145,526,1
53,7,203,103,17,126,113,54,119,16,518,203,427,7,17,517,30,421,18,497,0
518,7,35,92,107,777,203,8,22,526,107,-1,24,11,25,111,64,103,145,39,0
902,236,203,238,119,24,421,3,145,526,221,555,141,7,203,79,64,84,202,111,0
-1,78,902,147,518,68,421,42,22,16,7,902,203,518,427,14,64,81,498,497,0
427,17,111,7,203,85,234,142,360,526,107,427,902,7,203,110,64,517,145,53,0
17,235,7,11,897,85,427,238,523,12,7,421,203,-1,518,117,246,9,498,58,1
119,518,22,-1,78,126,107,427,221,117,134,254,7,203,92,875,57,67,236,37,1
22,203,107,236,-1,79,427,268,96,902,203,7,107,221,111,897,526,84,119,497,1
203,7,902,221,350,24,427,4,498,53,-1,-1,76,902,350,897,121,84,110,555,0
22,104,238,53,203,58,141,134,360,526,203,7,38,107,121,17,68,34,523,35,0
117,7,9,29,350,2,526,103,523,518,7,104,119,203,-1,17,421,133,81,16,0
203,222,518,134,107,79,421,67,157,235,-1,7,-1,-1,518,777,526,81,110,429,0
427,7,350,121,203,24,64,518,119,37,78,7,427,157,17,54,421,42,22,497,1
350,107,7,203,518,150,59,31,147,526,120,7,518,30,110,68,254,517,523,40,1
238,887,7,203,-1,360,421,134,78,111,350,85,518,203,7,150,30,246,236,37,0
902,7,203,526,107,27,104,157,119,53,107,421,7,110,902,24,234,142,523,201,1
203,43,85,119,268,78,30,68,523,497,7,902,-1,24,79,420,518,2,221,412,1
203,897,518,427,-1,24,254,7,236,526,78,498,427,134,30,85,76,240,895,350,0
104,-1,427,203,119,24,35,81,30,53,202,121,902,203,234,897,421,103,498,518,1
79,902,-1,24,53,240,518,7,119,40,122,427,498,203,30,897,254,13,81,235,1
427,35,902,126,119,58,421,245,145,32,104,119,902,78,203,897,121,13,81,16,0
350,518,114,68,427,14,254,268,523,117,245,43,203,221,50,266,104,163,236,902,0
518,203,9,427,221,421,121,897,96,902,119,236,1,-1,28,150,254,268,29,40,1
119,203,7,30,427,897,64,518,221,350,30,121,203,119,107,114,254,103,236,902,1
427,902,518,9,114,4,421,58,236,267,30,203,119,29,-1,1,44,122,221,497,1
29,518,902,-1,107,68,104,79,81,526,427,-1,203,111,166,24,234,131,236,78,1
427,518,902,41,119,35,203,134,110,74,107,121,119,421,39,150,234,103,222,43,0
518,902,136,114,26,58,64,34,221,526,902,29,104,518,203,78,121,4,30,412,0
63,518,203,427,238,24,64,134,429,497,902,221,203,121,518,58,421,7,29,40,1
203,238,902,79,518,350,104,103,96,122,427,119,902,29,8,516,121,127,523,63,0
30,427,119,902,203,79,421,84,236,267,136,518,902,497,33,266,234,112,81,111,1
427,223,121,55,203,79,254,103,202,555,350,-1,203,427,518,126,421,134,119,37,1
427,147,121,78,-1,54,203,68,236,902,-1,223,7,79,221,24,104,134,30,53,1
119,69,427,122,350,107,203,103,221,117,-1,63,147,350,17,19,234,518,236,902,1
203,119,350,236,24,75,200,1,221,111,203,39,157,427,30,85,2,518,29,902,1
427,32,518,119,-1,78,421,134,29,497,518,85,-1,350,203,24,526,238,236,37,1
9,107,555,427,53,2,421,103,157,235,498,427,119,350,203,79,78,518,18,37,0
119,902,107,121,427,79,203,111,523,517,518,427,119,2,221,78,62,4,145,555,1
427,203,104,126,518,62,121,127,222,40,427,120,897,107,24,103,421,517,498,497,0
902,203,-1,518,427,54,107,127,523,35,427,238,518,145,498,24,60,126,895,350,0
-1,107,7,350,518,57,203,268,119,902,2,107,427,24,53,78,121,84,222,117,0
427,157,121,24,221,81,104,69,78,43,121,518,107,203,2,897,120,68,147,497,0
7,107,421,77,427,897,203,245,81,526,518,11,221,157,79,200,62,1,147,235,1
203,427,518,121,421,54,79,157,119,902,107,203,29,427,126,122,104,84,235,110,0
518,203,350,78,427,79,107,81,68,37,427,221,203,85,7,57,200,61,119,497,0
427,200,77,157,119,58,421,55,221,154,107,518,200,9,203,78,121,517,222,902,0
203,121,166,902,518,79,78,157,119,111,427,107,-1,122,121,31,254,55,81,350,0
119,1,24,121,902,234,79,268,523,350,96,427,203,30,518,897,421,103,221,117,1
902,427,107,2,7,897,76,221,517,350,28,266,24,9,119,80,203,84,498,497,1
200,24,-1,120,236,79,203,518,222,497,427,24,157,350,119,234,107,84,523,902,0
897,427,902,203,221,14,68,39,18,201,78,902,30,28,121,126,254,147,157,235,1
107,77,119,412,902,1,104,79,523,43,111,-1,427,518,53,84,203,3,221,26,1
221,114,7,518,427,78,57,91,523,37,111,497,85,427,203,98,254,103,81,350,0
121,427,157,203,107,2,104,134,147,235,518,28,221,114,427,48,254,30,119,111,0
157,121,-1,9,236,78,887,777,202,350,203,221,85,29,427,24,254,79,50,555,1
121,-1,517,78,518,897,203,105,523,111,121,221,427,107,902,79,104,84,222,888,0
518,427,902,497,-1,78,64,517,119,53,121,518,107,240,9,897,203,112,523,201,1
