blue_pick_1,blue_pick_2,blue_pick_3,blue_pick_4,blue_pick_5,red_pick_1,red_pick_2,red_pick_3,red_pick_4,red_pick_5,win
78,30,161,81,432,58,59,103,115,497,1
11,79,897,145,53,24,64,103,498,497,1
54,254,42,145,111,58,518,18,67,526,0
126,96,103,145,37,164,203,268,22,111,1
2,77,126,12,21,114,57,517,360,25,0
24,113,897,81,518,58,203,7,30,235,1
897,64,517,67,37,107,104,147,22,111,1
27,200,103,29,117,2,234,1,22,497,1
2,76,126,222,497,897,234,8,22,902,1
78,104,517,96,201,8,64,111,81,103,1
27,104,897,30,235,14,64,147,119,111,0
238,421,55,523,37,164,68,166,498,497,1
150,234,1,222,111,126,121,50,523,43,1
4,421,58,236,267,1,44,122,221,497,1
39,64,523,7,111,897,154,126,236,267,0
85,421,117,119,103,897,254,1,221,43,1
360,104,1,85,89,80,64,103,29,497,1
85,78,134,221,117,18,234,518,236,902,1
11,421,142,222,427,58,246,103,50,80,1
24,64,134,429,497,58,421,7,29,40,1
164,234,126,30,111,421,77,15,268,16,1
58,9,777,202,111,421,79,157,29,412,1
421,57,84,498,497,86,121,103,29,117,1
85,62,8,29,350,126,104,134,523,111,1
126,57,24,119,40,79,9,897,523,497,0
78,28,518,523,902,887,9,897,221,350,0
79,897,777,221,201,114,421,103,202,111,1
887,203,103,145,497,1,121,143,202,897,0
92,200,103,236,25,897,254,1,523,117,0
897,254,84,236,902,126,421,103,221,350,1
79,421,7,21,111,164,5,103,147,497,1
78,104,518,236,902,887,254,134,523,497,0
41,62,518,81,432,79,77,18,236,267,0
79,104,111,202,350,266,59,517,45,235,1
897,427,126,29,497,78,254,103,145,117,0
897,254,79,498,43,114,421,103,18,111,0
887,76,4,498,497,897,64,1,18,43,1
897,203,84,236,902,79,427,64,119,267,0
897,234,112,31,235,2,203,518,350,81,0
268,203,96,14,902,39,121,134,236,12,0
41,121,163,498,497,2,91,103,81,235,1
897,76,105,202,235,82,113,58,145,526,1
92,518,61,498,53,58,203,103,523,117,1
58,120,103,145,53,92,141,134,236,267,0
58,107,103,429,57,68,421,96,30,555,0
79,234,103,523,555,58,254,18,30,497,1
126,234,134,30,111,39,203,268,15,53,0
110,234,69,236,267,24,203,1,498,497,0
68,62,18,74,43,79,104,1,236,267,0
58,121,81,1,497,79,64,105,523,412,1
126,254,7,236,37,39,203,103,523,111,0
24,62,68,18,497,98,203,79,221,37,1
85,234,18,30,497,57,203,427,523,16,1
39,876,234,110,40,58,62,79,81,235,1
98,131,203,81,43,2,79,104,222,497,1
85,104,142,523,201,13,254,79,119,412,1
897,200,1,221,117,79,64,134,202,111,0
